DMU,efficiency,AG,EN,CH,CS,IN,MF,DS1,DS2,DE,DMU,AG,EN,CH,CS,IN,MF,DS1,DS2,DE,,,DMU,AG,EN,CH,CS,IN,MF,DS1,DS2,DE,,,,,,,,,,,,
102,0.656,0,0.01,0,0.059,0.013,0,0,0.055,0,102,19,15,12,10,21,20,12,12,0.026,,,102,0.000%,14.808%,0.000%,58.243%,26.950%,0.000%,0.000%,100.000%,0.000%,,,,,,,,,,,,
103,0.565,0.001,0.004,0.058,0.018,0,0,0,0.047,0,103,12,20,12,12,28,16,12,12,0,,,103,1.195%,7.968%,69.323%,21.514%,0.000%,0.000%,0.000%,100.000%,0.000%,,,,,,,,,,,,
104,0.75,0,0,0.111,0,0,0,0.063,0,0,104,24,17,9,9,21,25,12,12,0.36,,,104,0.000%,0.000%,100.000%,0.000%,0.000%,0.000%,100.000%,0.000%,0.000%,,,,,,,,,,,,
105,0.75,0,0,0.111,0,0,0,0,0.063,0,105,24,17,9,9,20,24,12,12,0.78,,,105,0.000%,0.000%,100.000%,0.000%,0.000%,0.000%,0.000%,100.000%,0.000%,,,,,,,,,,,,
106,0.794,0,0.022,0.062,0.018,0.005,0,0.03,0.036,0.003,106,16,8,9,9,21,10,12,12,0.2,,,106,0.000%,17.582%,55.744%,16.184%,10.490%,0.000%,45.420%,54.504%,0.076%,,,,,,,,,,,,
107,1,0.016,0,0,0.019,0.02,0.001,0.037,0,0.04,107,24,18,9,9,21,24,16,16,10,,,107,38.438%,0.000%,0.000%,17.117%,42.042%,2.402%,59.677%,0.000%,40.323%,,,,,,,,,,,,
108,0.763,0,0.004,0.08,0.026,0,0,0,0.064,0.001,108,16,12,9,9,21,15,12,12,0.9,,,108,0.000%,4.790%,71.856%,23.353%,0.000%,0.000%,0.000%,99.883%,0.117%,,,,,,,,,,,,
109,0.771,0.007,0.009,0.084,0.008,0,0,0.031,0.033,0.008,109,8,13,9,9,17,8,12,12,0.1,,,109,5.594%,11.688%,75.524%,7.193%,0.000%,0.000%,48.387%,51.509%,0.104%,,,,,,,,,,,,
110,0.844,0,0,0.125,0,0,0,0.07,0,0,110,11,16,8,9,21,16,12,12,0.3,,,110,0.000%,0.000%,100.000%,0.000%,0.000%,0.000%,100.000%,0.000%,0.000%,,,,,,,,,,,,
111,0.763,0,0.004,0.08,0.026,0,0,0,0.064,0.001,111,17,12,9,9,26,15,12,12,0.85,,,111,0.000%,4.790%,71.856%,23.353%,0.000%,0.000%,0.000%,99.889%,0.111%,,,,,,,,,,,,
